text,target
la chica de humo es la mejor canción del pop en español. fav si estás de acuerdo. putos no.,0
idea millonaria: trajineras express destino a la verga. ida y vuelta. con parada en el puesto de elotes. bonito paisaje.,0
con las re putas ganas de llorar que me dieron... y el trabajal que tengo para la noche me dan ganas de irme a dormir.,0
#cosasquememolestan que se enojen cuando los molesto. ches putos,1
me encantaría que me mamaras la verga y darte una buena cogida enfrente a tu cornudo saludos,0
@usuario @usuario jajajajajajajajaja es que es luchona a medias🤷🏼‍♀️🤷🏼‍♀️,0
ya solo me encabrono y me encabrono todos los putos dias,0
si escucho música de león larregui en las noches y sonrío ya valí verga? tweet serio!,0
@usuario es una mamá luchona,0
vamos a beber el fin o qué pedo? le digo al puñal de tu hermano y que se arme.,0
ya no iremos jajaja cambio de planes drastico papa nos mando a la verga,0
obvis!! es siempre me la limpio yo... te dejo mi pito pa que tu me lo limpies maricon! jajajajaa 😜😜🤣,1
baila como pinche joto. ese cara de caballo sarnoso 😂👌,0
jajajajaja me pelas el rifle jajajaja solome da risa que eres bien macho bien broncudo un peleonero d…,0
los like de los putos esos de tus amiguitos. #cosasquememolestan,1
@usuario @usuario @usuario @usuario y ya ni me vuelvan a comentar chinguen a su madre todos y bloqueados por pendejos y jotos,1
#esdesesperanteque se sientan ofendidas cuando están casadas y andan de putas tragándose mis migajas jajaja,1
#ripiggy fuisre un perro hdp pero al final mostraste tu valia,1
que rica putita siempre tan sensualuna delicia admirar esa exquisita putita caliente,1
mi hermano se pasa de verga si de por sí nadie me hacía caso ahora con sus mamadas menos.😂😡,1
la ortodoncista se mamó me puso unas ligas rosas en lugar de unas guindas 😒,0
es depresión o tal vez estrés pero neta no tengo idea de que putas traigo.,0
mamá luchona atención a la bendición,1
pongan sus putas direccionales que no están de adorno,0
cuando quieras putito jajajajaja ponle fecha hora y lugar vas a ver quién se la pela a quien jajajaja putito,1
pinches sextuiteras que no responden ni nada valen verga,1
aveces me quejo de varias vainas que pasan en mi vida pero recuerdo que tengo netflix y todo me vale madre!! xd,0
felicidades a mi bro mi otra mitad pero más joto y que me ha bloqueado más de 6 veces. tkm @bayronm2,0
miriam madre de 4 hijosfue levantada violada y torturada por militares;”ejército es el brazo asesino del gobierno”,0
les voy a contar la historia de cuando orine en un puente peatonal... yo iba hasta la madre de pedo y me faltaba mucho para llegar a mi casa,0
extraño poza bueno a mi familia en si porque sales a comprar tu zacahuil y te matan a la verga :(,0
ahorita estaríamos en calzones acostados viendo una serié pero te valió verga nuestro amor.,0
@usuario @usuario jajaja puro puñeta amargado ya superenlo regios chupense sus tecates y partanse su madre rayados y tigres es lo unico que saben h,1
me estoy volviendo loca y al final me voy a teñir entera de morado. como que me apetece muchísimo pero miedito.,0
pues que puto ya llegale a la verga pinche cachagranizo,1
@usuario @usuario para que le hace caso a un reverendo imbécil lameculos del pri.,1
ya no me gusto esto de ser madre padre hermano nieto mpss investigador asalariado. ¡ya regresen padres mios!,0
error de los putos coordinadores defensivos y ofensivos,1
aprendan a querer la espina o no acepten rosas putos,0
en mi círculo social puedo tener a drogadictos putas asesinos pero gracias a dios a nadie que asista a #estamosunidosmexicanos 🐶🐻,0
pues la verdad putos periodistas muertos de hambre!,1
hoy volví a hacer ejercicio después de mucho tiempo de amarranarme. chingo a mi madre si lo dejo otra vez guarden este tuit.,0
los jovencitos karen y erick fueron asesinados hace un año en #ecaterror y su madre aun espera justicia.,0
¿apoco si me veo bien loca si le digo que hoy cumplimos un mes de conocernos? ❤️,0
como pueden lucrar con niños...basuras hdp ...😢😢,1
ya dejen de colgarse de la fama del mejor youtuber 'dalas'. putos.,0
ya pase yo- me llamo la atencion y me instale si es la de las fotos ya tiene como sus 36,0
@usuario pero manda a chingar a su madre al werever jajaja.,1
siempre habrá dinero y putas y borrachos hasta que caiga la última bomba”. charles bukowski,0
me encanta usar medias negras 🙈🙈 #sissy #travesti #pasiva #culona #pantimedias #putita,0
hoy al brujo morales lo mandaron a la goma por meterse con las chivas. en el programa de tdn tribuna interactiva.,0
en un día hice todos los putos corajes que no había hecho en una semana.,0
necesito a alguien que me explique porque a los hombres les encantan las morras putas.,1
#missyouonedirection si los putos no regresan en 2020 juro que no sabré que hacer con mi vida. hago que regresen si o si,0
es de lo que más putas pinches me castra en la vida,0
uta madre cada vato del mundo me cae tan gordo?? o sea mijo no te soporto estás todo meco y te crees la gran verga por tirarte un pedo,1
de verdad que un día de estos me voy a volver loca de tanta tarea.,0
buenos días morbositos  un seguidor nos manda su rica verga 😍😜😝😝,0
@usuario hola pinche toluca. te pones bien fría hija de tu puta madre.,1
eres un putete prepotente y marica cuando gustes !!!,1
se antoja mamar esa puchita y meterle la verga por el culo,1
@usuario @usuario patricia perdió fuerza porque en méxico tenemos la sierra madre occidental aquí desgraciadamente no hay nada que lo detenga 😕,0
en vez que estén con putas o algo así estan gritando por su pinche fifa como 15 niños💆,1
el bacacho si es lo más deli.🤤❤️ustedes que se creen buchones y al final se lo terminan mamando. 🙄,0
leo historias hermosas del momento que la madre vio por primera vez a su hijo yo le dije esto es? #madredelasco,0
oh nene si pienso en ti me vuelvo loca ya no puedo paraaar🎤,0
iba a darles los buenos días y me entero de lo de las vegas ¿que putas le pasa a la humanidad?,0
país donde está la gente más luchona y chingona del mundo!! #vivamexicocabrones #vivamx #mexico,0
ps que bonito festejan pero en el mundial nos la pelan putos 😉🤘🏼🇮🇸,1
odio los putos mosquitos de mierda asquerosos hijos de puta,0
nadie imagina que esté pinche lameculos de día se transforma en el mismísimo todas mías de noche @usuario,1
7 minutos con mangel? ay lpm y cuanto duran los de ruben 2 putos minutos los odio @usuario,0
y no tienen ne caps no la chinguen con estos putos,1
por más que te esfuerzas en hacer las cosas bien la caga así putas no se puede,0
si yo tuviera una death note seria como kira pero me dedicaría a extinguir a todas las putas !!!,1
"he leido mucho sobre la gente hablando de ""putas"" ¿que les hicieron de chiquitos amigos?",0
baia baia hijo de tu puta madre traicionero. 😂😂😂😂😂 3 a.m. de jesse &amp; joy,0
que putos haters :'c no saben la buena comedía lo as intentado :'c,1
"mi tía quiere cambiarle a ""hoy voy a cambiar"" me vale madre alv la vida de lupita no mames  #mexicandesmotherpalmundial <url>",1
@usuario @usuario #silup sacó a guardado y valió madre,0
jajaja también valió verga la señal del ecuador-perú,0
yo no puedo pasar ni 5 minutos sin mandar a la verga a alguien,0
@usuario inténtalo esta con madre.,0
siempre le  doy una nueva oportunidad al amor  xq no quiero estar frustrada y convertirme en una luchona o feminazi 😂,0
neta si me dio en mi madre.🤦🏻‍♀️,0
que calificación le dan a este wey con semejante verga? 😍😍😍😍 yo le doy un 10.,0
@usuario se lo debemos al maricon.agachon.convenenciero del prianrd. arturo nuñez .este hijo de puta solo hace acuerdos p jodernos.?dixit.fobaproa?,1
ya mate 7 putos moscos y se escuchan mas que me estas contando joputa,0
"estudiantes de la ug festejan cumpleaños con 500 litros de ""agua loca"" varios resultan intoxicad…",0
